year,pick,team,name,college,yrs,gms,min,pts,trb,ast,fg%,3p%,ft%,mpg,ppg,rpg,apg,ws,ws/48,bpm,vorp,link,at_col,mvps,roy,dpoys,smoys,mips,fmvps,1st_team,2nd_team,3rd_team,all_nba,all_star,franchise,active
1978,52,KCK,Mike Russell,Texas Tech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/r/russemi01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,SAC,FALSE
1978,53,CHI,Randy Ayers,Miami University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/a/ayersra01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,CHI,FALSE
1978,54,ATL,Steve Grant,Manhattan College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/g/grantst01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,ATL,FALSE
1978,55,NYK,Marc Iavaroni,Virginia,7,531,8371,2328,1725,514,0.459,0,0.71,15.8,4.4,3.2,1,8,0.046,-3.6,-3.4,/players/i/iavarma01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,NYK,FALSE
1978,56,GSW,Steve Neff,Southern Nazarene University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/n/neffst01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,GSW,FALSE
1978,57,CLE,Kenny Higgs,LSU,3,216,4435,1470,391,944,0.441,0,0.804,20.5,6.8,1.8,4.4,4.6,0.05,-2.5,-0.6,/players/h/higgske01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,CLE,FALSE
1978,58,WSB,Rick Apke,Creighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/a/apkeri01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,WAS,FALSE
1978,59,MIL,Pat Cummings,Cincinnati,12,683,14516,6529,3825,807,0.497,0,0.737,21.3,9.6,5.6,1.2,22.6,0.075,-2.5,-1.9,/players/c/cummipa01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,MIL,FALSE
1978,60,LAL,Michael Cooper,New Mexico,12,873,23635,7729,2769,3666,0.469,0,0.833,27.1,8.9,3.2,4.2,52.5,0.107,1.2,19.1,/players/c/coopemi01.html,TRUE,0,FALSE,1,0,0,0,0,0,0,0,0,LAL,FALSE
1978,61,SEA,Dave Baxter,Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/b/baxteda01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,OKC,FALSE
1978,62,NJN,Dave Batton,Notre Dame,2,58,589,188,123,32,0.448,0,0.471,10.2,3.2,2.1,0.6,0.7,0.055,-1.9,0,/players/b/battoda01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,BRK,FALSE
1978,63,PHO,Joel Kramer,San Diego State,5,328,4184,1257,916,343,0.479,0,0.737,12.8,3.8,2.8,1,9.1,0.105,-1.3,0.8,/players/k/kramejo01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,PHO,FALSE
1978,64,SAS,Gerald Henderson,VCU,13,871,18856,7773,1453,3141,0.472,0.332,0.776,21.6,8.9,1.7,3.6,32.1,0.082,-0.5,7.3,/players/h/hendege01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,SAS,FALSE
1978,65,SDC,Marvin Delph,Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/d/delphma01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,LAC,FALSE
1978,66,POR,Sterling Edmonds,Dartmouth College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/e/edmunst01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,POR,FALSE
1978,67,HOU,Jackie Robinson,UNLV,3,22,185,83,27,13,0.463,0,0.7,8.4,3.8,1.2,0.6,0.3,0.089,-2.4,0.1,/players/r/robinja01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,HOU,FALSE
1978,68,SDC,Jim Boylan,Marquette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/b/boylaji01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,LAC,FALSE
1978,69,HOU,Joel Thompson,Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/t/thompjo02.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,HOU,FALSE
1978,70,KCK,Geoff Crompton,UNC,5,82,495,99,139,28,0.37,0,0.442,6,1.2,1.7,0.3,-0.1,-0.009,-4.3,-0.4,/players/c/crompge01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,SAC,FALSE
1978,71,IND,Rickey Lee,Oregon State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/l/leeri01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,IND,FALSE
1978,72,BOS,Dave Nelson,Bloomfield College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/n/nelsoda01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,BOS,FALSE
1978,73,SDC,Larry Harris,Pitt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/h/harrila01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,LAC,FALSE
1978,74,NOJ,Mel Davis,University of North Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/d/davisme02.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,UTA,FALSE
1978,75,NOJ,Jeff Covington,Youngstown State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/c/covinje01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,UTA,FALSE
1978,76,SDC,Leroy McDonald,Wake Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/m/mcdonle01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,LAC,FALSE
1978,77,GSW,Derrick Jackson,Georgetown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/j/jacksde02.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,GSW,FALSE
1978,78,CLE,Stan Rome,Clemson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/r/romest01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,CLE,FALSE
1978,79,NYK,Erving Giddings,Dayton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/g/giddier01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,NYK,FALSE
1978,80,MIL,Otis Howard,Austin Peay State University,1,14,113,59,41,5,0.429,0,0.478,8.1,4.2,2.9,0.4,0.2,0.064,-4,-0.1,/players/h/howarot01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,MIL,FALSE
1978,81,WSB,Lawrence Boston,Maryland,1,13,125,56,39,2,0.462,0,0.615,9.6,4.3,3,0.2,0.2,0.075,-4,-0.1,/players/b/bostola01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,WAS,FALSE
1978,82,LAL,Harold Robertson,Lincoln University of Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/r/roberha01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,LAL,FALSE
1978,83,SEA,Billy Lewis,Illinois State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/l/lewisbi01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,OKC,FALSE
1978,84,NJN,Walter Jordan,Purdue,1,30,207,68,42,11,0.387,0,0.588,6.9,2.3,1.4,0.4,-0.1,-0.021,-4.6,-0.2,/players/j/jordawa01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,BRK,FALSE
